feature_code,score,diff
S12000005,0.41214285714285714,0.12750000000000006
S12000006,0.5453571428571429,-0.04249999999999998
S12000008,0.46071428571428574,0.08750000000000002
S12000010,0.4467857142857143,0.012500000000000011
S12000011,0.5878571428571429,-0.16249999999999998
S12000013,0.7485714285714286,0.04749999999999999
S12000014,0.4257142857142857,0.02999999999999997
S12000017,0.5310714285714285,-0.05249999999999999
S12000018,0.5700000000000001,-0.025000000000000022
S12000019,0.425,-0.07750000000000001
S12000020,0.48214285714285715,0.050000000000000044
S12000021,0.46214285714285713,-0.04499999999999993
S12000023,0.67,-0.08749999999999991
S12000026,0.4521428571428571,-0.08750000000000002
S12000027,0.6239285714285715,-0.02000000000000013
S12000028,0.485,0.10249999999999998
S12000029,0.47678571428571426,0.015000000000000013
S12000030,0.47464285714285714,-0.1225
S12000033,0.31357142857142856,-0.19
S12000034,0.4975,-0.012500000000000067
S12000035,0.39964285714285713,0.08999999999999997
S12000036,0.32321428571428573,0.06999999999999995
S12000038,0.4832142857142857,-0.07250000000000001
S12000039,0.35535714285714287,0.03500000000000009
S12000040,0.4225,0.0625
S12000041,0.40249999999999997,-0.16749999999999998
S12000042,0.3003571428571429,0.23249999999999998
S12000045,0.46214285714285713,-0.012500000000000067
S12000047,0.41857142857142854,0.02999999999999997
S12000048,0.4475,0.0025000000000000022
S12000049,0.3357142857142857,-0.05249999999999999
S12000050,0.45285714285714285,0.06
S92000003,0.4282142857142857,-0.0025000000000000577
